OMSTenantId,outHasActiveO365,DeletedUserCnt,EnabledUsers,NumProvisionedDesktop,NumProvisionedMobile,AvgSpoDays,AvgDaysUsedPublisher,AvgDaysUsedAccess,AvgDaysUsedOneNote,AvgDaysUsedPpt,AvgDaysUsedWord,AvgDaysUsedExcel,AvgEmailDays,AvgDaysUsedSkype,AvgDaysEmailLinkedin,AvgDaysEmailTwitter,AvgDaysEmailFb,AvgDaysEmailApple,AvgDaysEmailAmazon,AvgDaysEmailPayPal,AvgDaysEmailDropBox,HasReadGmail,NumExternalEmailsRcvd,NCustomDomains,NumPaidSubscriptions,IsAtRiskGroup,TenureFirstPaid,O365SmbIsAutoRenew,O365SmbChannelType
7d5c70a8-5924-4645-9607-4a8968228502,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,39.24342105,1,Reseller
00098c2c-fd97-43e8-9b98-fa51962a3e06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,42.53289474,1,Syndication
7d5c7219-87ad-4e37-b126-0fb7e164f860,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.848684211,1,Direct
0009a1f9-eea0-43f4-930d-829968967a1b,1,0,1,4,1,0,0,0,0,0,12.5,10.5,23,0,6,0,0,0,0,0,0,1,21,1,3,1,37.10526316,1,Syndication
7d5cb287-a6ad-4f3b-820a-ecf9d95ae3b1,1,0,1,1,0,0,1,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20.59210526,1,Reseller
0009b2e7-89ef-4c73-92d6-bd4d67a055d1,1,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5.723684211,1,Direct
7d5cdf24-e0ce-405d-9268-030cef021359,1,0,1,5,2,0,0,0,0,0,5,7.25,24,0,0,0,0,0,0,0,6,1,37,1,2,0,41.90789474,1,Direct
0009fa5d-984b-4a29-b790-16cd6d624ce6,1,0,1,2,1,0,0,0,11,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7.828947368,1,Direct
7d5d0268-8596-44ec-a71e-f5408f56ce04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.486842105,1,Reseller
000acea0-413f-468c-8366-95f4e795aa1b,1,0,1,3,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13.19078947,1,Reseller
7d5d3c39-e2ec-43d9-8f1a-ddef352dc420,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,6,0,19.34210526,1,Reseller
000b17f6-d304-4a8a-b338-de93661a346e,1,12,1,4,2,0,0,0,0,0.25,1.25,5.5,19,0,0,0,0,1,1,2,0,1,15,1,2,0,40.03289474,1,Direct
7d5d4cf2-2bd2-4e0d-be38-195e21e619da,1,0,1,1,1,0,0,0,0,1,9,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.868421053,1,Direct
000b1a92-42e1-4771-a335-eda65a74e036,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.289473684,1,Direct
7d5d6155-f749-4dbd-aeab-94322fa7c2b4,1,1,1,5,0,0,0,0,0.5,4.5,12.5,14,27,0,17,0,0,0,0,0,0,1,121,4,3,1,52.40131579,1,Direct
000b8e46-ca17-42e3-898a-b09d68c44a6d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,39.17763158,1,Reseller
7d5d6c5b-72f6-4af4-bf1e-e7062230fc09,1,0,1,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.743421053,1,Reseller
000bfb19-cf33-48e7-917f-f02023f54baf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,31.94078947,1,Syndication
7d5d9af9-1f57-4bbb-aac3-dfb936f180a1,1,0,1,1,0,19,0,0,0,18,10,17,1,0,0,0,0,0,0,0,0,0,0,1,2,0,3.618421053,1,Direct
000c9d3c-79d0-483f-85a0-7a47071da957,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,22.07236842,1,Syndication
7d5db0e8-147e-402b-b4d0-91b084d55ce4,1,0,1,3,0,27,0,0,0,1,13,14,28,0,12,17,26,0,27,0,1,1,87,1,3,1,29.50657895,1,Syndication
000cd2b6-27bc-45e0-8d62-7a95dfc84ebc,1,0,1,1,0,1,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19.375,1,Direct
7d5e3234-cf97-4765-b827-dfa3e021ae97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,40.46052632,1,Reseller
000cd7d3-fbe1-497d-bf0b-2c58f21764c5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29.57236842,1,Direct
7d5ebf75-6f12-477a-910a-6640dd59eb83,1,0,1,5,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1,3,0,48.15789474,1,Direct
000cdb5b-f054-41eb-bd51-cd83f6173305,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,35.46052632,1,Reseller
7d5f21de-e2ca-4d7d-b881-d480feb8d394,1,0,1,2,3,24,0,0,1,2.5,4,9.5,17,0,3.5,0,0,0,0,0,0,0,80,1,2,1,19.07894737,1,Reseller
000d1f9f-9578-41fa-9ef9-b7e6070c3fdf,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24.40789474,1,Direct
7d5f4d65-d59a-4253-9859-5c19ad7a36b0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,32.82894737,1,Direct
000d21d3-c2f9-45e5-8141-e70d4c43f804,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.565789474,1,Reseller
7d5f6e23-15d1-4380-8706-ff1a43af4e4c,1,0,1,1,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19.50657895,1,Direct
